MVA-0:
(6,30)-(19,176)

MVA-1:
(38,0)   (94,207)     0
(38,10)  (94,197)     1
(44,0)   (108,207)    2
(44,5)   (108,202)    3
(38,5)   (94,202)     4
(6,5)    (19,202)     5
(6,15)   (19,192)     6
(44,15)  (108,192)    7
(44,10)  (108,197)    8
(44,20)  (108,187)    9
(38,15)  (94,192)     10
(38,20)  (94,187)     11
(6,0)    (19,207)     12
(6,10)   (19,197)     13
(6,20)   (19,187)     14

MVA-2:
(38,40)  (94,166)     0
(38,35)  (94,171)     1
(38,45)  (94,161)     2
(44,40)  (108,166)    3
(44,35)  (108,171)    4
(44,25)  (108,181)    5
(44,30)  (108,176)    6
(44,45)  (108,161)    7

MVA-3:
(38,85)  (94,119)     0
(44,80)  (108,124)    1
(38,75)  (94,129)     2
(44,70)  (108,135)    3
(51,80)  (128,124)    4
(51,85)  (128,119)    5
(44,90)  (108,114)    6
(51,90)  (128,114)    7

MVA-4:
(44,65)  (108,140)    0
(6,90)   (19,114)     1
(38,80)  (94,124)     2
(6,85)   (19,119)     3
(38,70)  (94,135)     4
(6,60)   (19,145)     5
(38,60)  (94,145)     6
(44,75)  (108,129)    7
(38,65)  (94,140)     8
(6,75)   (19,129)     9
(6,70)   (19,135)     10
(6,65)   (19,140)     11
(6,80)   (19,124)     12
(6,55)   (19,150)     13
(38,55)  (94,150)     14

MVA-5:
(94,67) -- not used
(44,125)  (108,77)    0
(38,130)  (94,72)     1
(6,160)   (19,41)     2
(44,110)  (108,93)    3
(38,140)  (94,62)     4
(51,115)   (128,88)    5
(6,135)   (19,67)     6
(44,145)  (108,57)    7
(38,155)  (19,109)    8
(6,170)   (19,31)     9
(6,150)   (19,51)     10
(51,135)  (128,67)    11
(6,165)   (19,36)     12
(44,115)  (108,88)    13
(6,145)   (19,57)     14
(44,135)  (108,67)    15
(38,155)  (94,46)     16
(38,145)  (94,57)     17
(38,165)  (94,36)     18
(38,95)   (94,109)    19
(38,160)  (94,41)     20
(44,140)  (108,62)    21
(51,125)  (128,77)    22
(44,120)  (108,83)    23
(38,150)  (94,51)     24
(44,130)  (108,72)    25
(51,110)  (128,93)    26
(6,140)   (19,62)     27
(51,130)  (128,72)    28
(51,120)  (128,83)    29
(6,155)   (19,46)     30
(6,130)   (19,72)     31

MVA-6:
(51,95)   (128,109)   0
(51,105)  (128,98)    1
(44,100)  (108,103)   2
(51,100)  (128,103)   3

MVA-7:
(6,120)   (19,83)     0
(38,125)  (94,77)     1
(6,105)   (19,98)     2
(6,125)   (19,77)     3
(38,115)  (94,88)     4
(6,110)   (19,93)     5
(6,100)   (19,103)    6
(38,120)  (94,83)     7

MVA-8:
(6,45)    (19,161)
